Historical data from the Sunshine Mine, Idaho -- planar projection              ¹
         428           5           1 -1.0000000E+08 
Easting (ft)        Elevation (ft)      Vein_Width (feet)   Au. (oz/ton)        
Ag. (oz/ton)        
1,1,1,1996,7000,40.5,0.029,6.25
2,2,1,1986,7000,41.1,0.034,8.78
3,3,1,1977,7000,44.1,0.031,5.5
4,4,1,1969,7000,44.9,0.02,5.18
5,5,1,1957,7000,39.1,0.021,4.21
6,6,1,1946,7000,40.6,0.035,5.62
7,7,1,1935,7000,33.4,0.039,6.51
8,8,1,1927,7000,32.2,0.051,4.77
9,9,1,1917,7000,27.7,0.055,5.08
10,10,1,1903,7000,25.6,0.028,2.83
11,11,1,1897,7000,24.3,0.037,4.35
12,12,1,1887,7000,23.3,0.039,4.43
13,13,1,1874,7000,21.9,0.041,6.12
14,14,1,1864,7000,18,0.028,5.78
15,15,1,1858,7000,21.4,0.032,5.02
16,16,1,1843,7000,19.6,0.031,3.88
17,17,1,1821,7000,25,0.018,3.21
18,18,1,1805,7000,21.5,0.015,4.51
19,19,1,1784,7000,27.7,0.023,2.94
20,20,1,1768,7000,30.1,0.022,5.49
21,21,1,1762,7000,24.3,0.012,3.93
22,22,1,1754,7000,29.7,0.027,5.31
23,23,1,1744,7000,27.2,0.043,6.14
24,24,1,1735,7000,25,0.024,4.45
25,25,1,1717,7000,17.2,0.008,5.11
26,26,1,1705,7000,14.2,0.024,5.06
27,27,1,1693,7000,16,0.045,4.42
28,28,1,1684,7000,15.9,0.05,4.38
29,29,1,1675,7000,13.7,0.054,5.29
30,30,1,1666,7000,15.7,0.029,2.71
31,31,1,1635,7000,17.8,0.012,6.38
32,32,1,1625,7000,18.1,0.039,3.96
33,33,1,1618,7000,17.2,0.034,3.97
34,34,1,1585,7000,19.5,0.025,5.13
35,35,1,1568,7000,18.9,0.003,2.65
36,36,1,1561,7000,20.1,0.013,2.87
37,37,1,1551,7000,21,0.006,4.22
38,38,1,1543,7000,19.9,0.013,2.07
39,39,1,1531,7000,14,0.025,2.56
40,40,1,1509,7000,13,0.013,1.7
41,41,1,1996,6890,46.7,0.044,5.75
42,42,1,1980,6890,54.8,0.038,6.83
43,43,1,1962,6890,51,0.042,6.7
44,44,1,1951,6890,48.3,0.048,6.52
45,45,1,1937,6890,51.4,0.037,6.3
46,46,1,1930,6890,51.7,0.021,4.42
47,47,1,1920,6890,54,0.025,4.55
48,48,1,1905,6890,54.6,0.028,3.7
49,49,1,1893,6890,49.9,0.026,5.51
50,50,1,1877,6890,49.3,0.024,6.5
51,51,1,1865,6890,43.6,0.038,9.32
52,52,1,1853,6890,46.7,0.043,8.53
53,53,1,1837,6890,37,0.101,8.08
54,54,1,1825,6890,36.2,0.018,7.16
55,55,1,1816,6890,35.3,0.015,6.69
56,56,1,1812,6890,37.3,0.02,4.25
57,57,1,1797,6890,35.9,0.029,6.61
58,58,1,1783,6890,30.2,0.026,3.96
59,59,1,1775,6890,32,0.016,6.07
60,60,1,1767,6890,30.2,0.057,6.29
61,61,1,1757,6890,27.1,0.067,8.47
62,62,1,1750,6890,27.7,0.039,9.94
63,63,1,1740,6890,22.6,0.052,9.65
64,64,1,1733,6890,25.1,0.037,7.8
65,65,1,1725,6890,25.8,0.06,5.93
66,66,1,1716,6890,24.7,0.052,8.55
67,67,1,1707,6890,25,0.051,10.08
68,68,1,1697,6890,24.1,0.042,17.25
69,69,1,1688,6890,24.9,0.05,9.65
