Geevor Tin Mine -- Simms Lode West                                              ²
5445 5 1 -9
X co-ordinate       Y co-ordinate       Thickness (inches)  Grade lbs/ton SnO2
Date code
     1        13SP  2    1555   165    24    22     1
     2        13SP  2    1561   166     8    18     1
     3        13SP  2    1569   165     7     5     1
     4        13SP  2    1576   183    21   131     1
     5        13SP  2    1582   182    14   113     1
     6        13SP  2    1584   166    20    67     1
     7        13SP  2    1594   183    18    26     1
     8        13SP  2    1596   166    21    71     1
     9        13SP  2    1605   183    18    68     1
    10        13SP  2    1606   202    21    15     1
    11        13SP  2    1609   208    17    31     1
    12        13SP  2    1614   201    12   112     1
    13        13SP  2    1614   166    19    18     1
    14        13SP  2    1618   216    26     7     1
    15        13SP  2    1619   224    24    37     1
    16        13SP  2    1620   182    29    72     1
    17        13SP  2    1623   164    12    22     1
    18        13SP  2    1623   233    18    46     1
    19        13SP  2    1628   201    11     5     1
    20        13SP  2    1629   240    16    70     1
    21        13SP  2    1632   182    19     8     1
    22        13SP  2    1632   165    11    20     1
    23        13SP  2    1637   221    22     9     1
    24        13SP  2    1641   200    24   170     1
    25        13SP  2    1643   182    17    22     1
    26        13SP  2    1645   155    20    90     1
    27        13SP  2    1652   165    20   165     1
    28        13SP  2    1654   222    15    52     1
    29        13SP  2    1655   182    14    72     1
    30        13SP  2    1657   202    14    62     1
    31        13SP  2    1663   182    15   210     1
    32        13SP  2    1663   239    18    51     1
    33        13SP  2    1663   165    17   142     1
    34        13SP  2    1667   202    11    82     1
    35        13SP  2    1668   222    27    11     1
    36        13SP  2    1675   182    14     5     1
    37        13SP  2    1670   202    18    68     1
    38        13SP  2    1681   165    28    44     1
    39        13SP  2    1681   238    18   260     1
    40        13SP  2    1684   182    33    32     1
    41        13SP  2    1684   221    23    19     1
    42        13SP  2    1687   163    36     7     1
    43        13SP  2    1590   163    32     7     1
    44        13SP  2    1690   202    19    19     1
    45        13SP  2    1692   182    11    11     1
    46        13SP  2    1695   222    28    14     1
    47        13SP  2    1696   163    38    14     1
    48        13SP  2    1698   237    27   175     1
    49        13SP  2    1700   201    16    77     1
    50        13SP  2    1705   222    12     7     1
    51        13SP  2    1707   182    32   112     1
    52        13SP  2    1710   235    23    14     1
    53        13SP  2    1711   201    20    26     1
    54        13SP  2    1712   166    26    12     1
    55        13SP  2    1714   222    22   110     1
    56        13SP  2    1719   202    18     7     1
    57        13SP  2    1719   182    24   217     1
    58        13SP  2    1723   237    44    37     1
    59        13SP  2    1723   181    26   167     1
    60        13SP  2    1727   181    28    98     1
